Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
69.3,348832,448,778.6,640.0,576,4864,377.4,cast_bf16_f32
9.9,49888,43,1160.2,1056.0,1024,3616,440.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_nn_align2>(T1::Params)
7.0,35296,12,2941.3,1312.0,960,9536,3097.7,uexp_f32
4.4,22080,12,1840.0,1184.0,512,4320,1431.8,const_set_f32
3.5,17760,12,1480.0,704.0,672,5408,1530.2,bmul_u8
3.4,17216,12,1434.7,640.0,608,8192,2168.5,badd_f32
1.8,8896,12,741.3,672.0,640,1120,146.2,ulog_f32
0.7,3360,1,3360.0,3360.0,3360,3360,0.0,const_set_bf16
