Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
75.2,424512,448,947.6,640.0,576,10848,1139.5,cast_bf16_f32
8.9,50272,43,1169.1,1056.0,1056,3552,431.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_nn_align2>(T1::Params)
4.8,26976,12,2248.0,736.0,672,10048,2936.6,bmul_u8
3.9,21984,12,1832.0,1456.0,992,4128,973.2,uexp_f32
3.4,19424,13,1494.2,1152.0,512,4352,1175.9,const_set_f32
1.6,8992,12,749.3,704.0,672,1184,144.7,ulog_f32
1.6,8832,12,736.0,688.0,608,1088,167.7,badd_f32
0.7,3744,1,3744.0,3744.0,3744,3744,0.0,const_set_bf16
