Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
82.1,416992,448,930.8,640.0,576,8448,937.5,cast_bf16_f32
9.8,49984,43,1162.4,1056.0,1024,3488,423.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_nn_align2>(T1::Params)
2.6,12960,4,3240.0,1104.0,608,10144,4608.6,badd_f32
2.3,11712,4,2928.0,3568.0,672,3904,1519.1,bmul_u8
1.1,5440,4,1360.0,1344.0,928,1824,370.0,uexp_f32
0.8,4192,4,1048.0,1024.0,672,1472,344.0,ulog_f32
0.7,3552,4,888.0,768.0,512,1504,428.0,const_set_f32
0.6,3136,1,3136.0,3136.0,3136,3136,0.0,const_set_bf16
