Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.3,394432,448,880.4,640.0,576,8352,847.0,cast_bf16_f32
9.2,50048,43,1163.9,1056.0,1056,3552,432.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_nn_align2>(T1::Params)
6.9,37440,9,4160.0,2112.0,1312,12480,3933.6,uexp_f32
4.8,26080,9,2897.8,896.0,640,10208,3596.8,ulog_f32
2.3,12416,9,1379.6,736.0,672,3488,1198.6,bmul_u8
2.2,12096,9,1344.0,1024.0,512,4736,1311.7,const_set_f32
1.7,9088,9,1009.8,704.0,640,2240,522.2,badd_f32
0.7,3680,1,3680.0,3680.0,3680,3680,0.0,const_set_bf16
