mode,concurrency,engine,status,output_throughput,median_ttft_ms,p99_ttft_ms,median_tpot_ms,p99_tpot_ms,source_run
target,1,mistralrs,completed,96.97920357992983,25.33236547606066,25.894951466470953,10.280789704578737,10.291474603458754,primary
target,1,vllm,completed,86.00297166484319,133.94886604510248,141.33890983765014,11.388775820906753,11.392071551780914,primary
target,1,sglang,completed,89.58204878674269,89.55967304063961,90.59999664197676,11.009504469662883,11.011181412134391,primary
target,8,mistralrs,completed,721.215294548394,114.22994104214013,118.9742513152305,10.90036839731548,11.067198841151855,primary
target,8,vllm,completed,603.4935986926503,240.85153749911115,261.39976314269,12.809369800436453,12.811907449723067,primary
target,8,sglang,completed,650.4154078488468,152.68372948048636,155.70804985123686,12.053599455936057,12.06155596325564,primary
target,16,mistralrs,completed,1287.460440776855,193.93347849836573,243.5511705337558,12.069435605648067,12.383326558451353,primary
target,16,vllm,completed,1118.7611284417737,262.38165592076257,287.479453709675,13.803179767105815,13.827433000289545,primary
target,16,sglang,completed,1204.62277423254,215.4286049772054,219.25620446214452,12.891813434447196,13.023224764625649,primary
target,32,mistralrs,completed,2092.49662903165,354.4437004602514,1338.2522952544969,13.669000686909056,14.358123061003404,primary
target,32,vllm,completed,1921.114136567373,452.3903644294478,488.6987839010544,15.762979772995331,16.134592750505682,primary
target,32,sglang,completed,2091.5544943258287,400.2555185579695,405.46626257011667,14.539325418777276,15.026583258935602,primary
target,64,mistralrs,completed,3587.316404744097,701.820625574328,760.5764137674123,16.447140479372873,17.219621313288407,primary
target,64,vllm,completed,3055.663061271145,767.0313499984331,771.4893425977789,19.46021372317054,19.98630250838071,primary
target,64,sglang,completed,3367.1161850422586,633.1073770415969,636.0405707813334,17.782660254273644,18.390381059230265,sglang_headroom
target,96,mistralrs,completed,4314.000587380391,752.0569245098159,1114.2801986716222,20.724632045064567,21.30078614780309,primary
target,96,vllm,completed,3761.5863258764507,813.9837465132587,1001.6399492917117,23.92483653225927,24.445175380619613,primary
target,96,sglang,completed,4072.221216083801,650.7381200208329,881.6422196337953,22.316686915909898,22.793597885801173,sglang_headroom
target,128,mistralrs,completed,4914.053723354103,1101.790770480875,1491.9962570653297,23.852765649796776,24.895717535095486,primary
target,128,vllm,completed,4300.762860667899,1091.8841605307534,1299.532185223652,27.616586418728545,28.601299941511513,primary
target,128,sglang,completed,4673.673007359946,905.2393439924344,1142.2679791296832,25.629805277945533,26.530346580119915,sglang_headroom
dflash,1,mistralrs,completed,216.90572072454043,25.091876043006778,25.80742887686938,4.56374586097816,5.420380777544059,primary
dflash,1,vllm,completed,184.18054144780015,142.6698894938454,161.00164426257828,5.175461761385509,5.90283909923745,primary
dflash,1,sglang,completed,176.89907787938063,97.02820598613471,98.62606458831578,5.52983154301712,6.408249678308009,primary
dflash,8,mistralrs,completed,1299.9133477947253,42.99417498987168,138.95181927713566,5.863589611462155,6.787396105153963,primary
dflash,8,vllm,completed,980.6992939140375,179.97143795946613,326.82230342528777,7.765697989108884,9.914673496112446,primary
dflash,8,sglang,completed,968.2192941657621,131.46815652726218,2547.5771151878866,7.325958988311247,8.902469655524378,primary
dflash,16,mistralrs,completed,2015.458063420319,66.32516050012782,242.01194765861146,7.372372190822499,8.981765270462795,primary
dflash,16,vllm,completed,1550.3999979001696,249.08754648640752,381.3227059075143,9.699680203427933,12.163920722589253,primary
dflash,16,sglang,completed,1472.212684111482,227.09519253112376,3087.0432321820404,9.236677020556728,10.908311058570304,primary
dflash,32,mistralrs,completed,2649.158776246592,110.70694349473342,457.36135610728513,11.043281520515455,13.250105663292919,primary
dflash,32,vllm,completed,2173.774291966732,317.9991514189169,485.6663845316507,13.136043263200138,16.71083919189318,primary
dflash,32,sglang,completed,1695.0816685212399,329.2034185724333,6639.96851696749,14.490745465932761,17.984120110815315,primary
dflash,64,mistralrs,completed,2842.2216177997175,811.1659095156938,992.1105840068776,19.531887042980436,21.826213311450463,primary
dflash,64,vllm,completed,1982.4379908236322,518.6706875101663,10469.210357964037,14.554866734840187,19.764294255579095,primary
dflash,64,sglang,failed,,,,,,primary
dflash,96,mistralrs,completed,2993.441219773734,902.1412790170871,1504.2102230712771,28.64244270446909,30.94736385431893,primary
dflash,96,vllm,completed,1931.3135043689283,9107.556234463118,19892.611190868774,16.64717656361129,21.57656141671164,primary
dflash,96,sglang,failed,,,,,,primary
dflash,128,mistralrs,completed,2734.8864396510776,1369.5638389908709,2082.013996548485,41.52936491656464,45.36733197727206,mistralrs_c128
dflash,128,vllm,completed,1925.818560833761,10400.082583539188,28702.89509046008,17.18249933456058,21.02493313176479,primary
dflash,128,sglang,failed,,,,,,primary
